fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,precio_venta,ingresos,Amazon,Decathlon,Deporvillage
2021-10-31,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,2,107.7,215.4,109.02,95.97,112.98
2021-10-31,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2,82.38,164.76,79.68,69.31,78.17
2021-10-31,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,5,126.55,632.75,126.78,106.79,118.3
2021-10-31,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,1,19.55,19.55,19.47,18.4,19.73
2021-10-31,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1,34.59,34.59,35.9,30.67,35.28
2021-10-31,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,1,48.69,48.69,53.41,46.29,50.64
2021-11-01,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,7,115.07,805.49,81.23,110.51,94.32
2021-11-01,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,10,136.0,1360.0,112.24,109.52,118.42
2021-11-01,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,2,85.14,170.28,89.61,76.74,83.48
2021-11-01,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,2,76.74,153.48,72.98,70.1,72.45
2021-11-01,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2,34.89,69.78,33.16,33.35,33.96
2021-11-01,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,2,64.67,129.34,66.54,59.55,64.51
2021-11-01,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,2,71.38,142.76,68.54,62.08,67.39
2021-11-01,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2,63.09,126.18,62.77,59.81,63.9
2021-11-01,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2,397.99,795.98,365.44,325.34,359.35
2021-11-01,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,2,172.48,344.96,171.68,146.87,161.11
2021-11-01,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,3,45.7,137.1,44.19,41.62,46.98
2021-11-01,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,3,54.06,162.18,57.31,49.39,55.83
2021-11-01,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,3,24.27,72.81,24.46,22.68,24.45
2021-11-01,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,3,40.12,120.36,39.32,37.38,39.15
2021-11-01,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,3,149.59,448.77,133.29,143.79,132.05
2021-11-01,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,3,821.27,5143.851499999984,403.3126249999999,364.25499999999994,385.2574999999999
2021-11-01,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,1,96.35,96.35,102.84,85.84,91.94
2021-11-01,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,2,69.56,139.12,69.05,64.26,70.6
2021-11-01,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,2,109.73,219.46,108.91,96.86,109.84
2021-11-01,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,2,82.19,164.38,76.41,73.31,80.64
2021-11-01,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,4,132.24,528.96,124.7,105.91,117.27
2021-11-01,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,1,19.93,19.93,18.75,17.86,21.1
2021-11-01,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1,34.48,34.48,35.29,32.7,33.09
2021-11-01,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,1,50.41,50.41,51.2,46.02,48.64
2021-11-02,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,116.1,1161.0,82.69,107.86,97.91
2021-11-02,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,10,135.92,1359.2,114.58,108.41,116.13
2021-11-02,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,2,82.79,165.58,91.17,76.12,88.99
2021-11-02,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,2,76.07,152.14,68.67,68.37,73.8
2021-11-02,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,2,35.03,70.06,35.06,31.52,34.83
2021-11-02,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,2,63.38,126.76,60.72,56.61,64.52
2021-11-02,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,2,70.91,141.82,69.86,65.43,72.93
2021-11-02,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2,64.21,128.42,69.92,59.72,66.03
2021-11-02,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,2,396.39,792.78,363.22,335.24,355.83
2021-11-02,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,2,171.69,343.38,173.07,147.15,160.68
2021-11-02,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,3,44.12,132.36,45.4,42.37,44.79
2021-11-02,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,3,55.87,167.61,57.42,52.13,56.65
2021-11-02,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,3,24.65,73.95,25.58,23.5,25.47
